tempo(ms),temperatura(C),umidade(%),pressao(Pa),co2(ppm),luminosidade(%),acelX(m/s2),accelY,acelZ,giroX(graus/s),giroY,giroZ,magX(uT),magY,magZ,bateria(%)
0,13.22,47.41,91351.24,400.00,0.00,0.06,1.53,-9.77,0.11,-0.04,0.03,36.67,24.41,-8.86,98
525,13.22,47.41,91352.32,400.00,0.00,0.09,1.52,-9.72,0.04,-0.07,0.03,38.26,25.65,-9.03,98
1043,13.22,47.41,91351.50,400.00,0.00,0.09,1.53,-9.76,0.08,-0.01,0.00,36.67,25.12,-9.89,99
1563,13.22,47.41,91354.34,400.00,0.00,0.08,1.51,-9.74,0.11,-0.01,-0.03,38.26,24.94,-8.01,99
2088,13.16,47.44,91354.55,400.00,0.00,0.07,1.51,-9.74,0.17,-0.07,0.03,38.43,27.95,-8.52,99
2609,13.16,47.44,91352.74,400.00,0.00,0.06,1.50,-9.71,0.08,0.02,-0.03,37.90,26.36,-8.35,99
3125,13.16,47.44,91353.62,400.00,0.00,0.07,1.52,-9.79,0.08,-0.04,-0.09,35.61,25.82,-10.23,99
3641,13.16,47.44,91353.30,400.00,0.00,0.07,1.51,-9.69,0.04,-0.01,-0.03,36.32,26.53,-9.54,99
4156,13.12,47.38,91352.16,403.00,0.00,0.06,1.54,-9.69,0.08,0.02,-0.03,38.08,26.18,-11.25,99
4672,13.12,47.38,91352.02,403.00,0.00,0.05,1.55,-9.69,0.08,-0.04,0.03,37.02,25.12,-8.18,99
5192,13.12,47.38,91351.48,403.00,0.00,0.06,1.51,-9.71,0.14,-0.01,-0.03,38.26,24.23,-10.06,99
5708,13.12,47.38,91349.85,403.00,0.00,0.08,1.53,-9.72,0.11,-0.04,0.00,37.20,25.65,-8.35,99
6224,13.12,47.38,91353.20,403.00,0.00,0.09,1.54,-9.73,0.08,-0.04,0.00,37.37,24.41,-10.23,99
6738,13.10,47.38,91350.64,403.00,0.00,0.06,1.52,-9.69,0.04,-0.04,-0.06,38.61,26.00,-9.71,99
7254,13.10,47.38,91350.61,403.00,0.00,0.09,1.52,-9.73,0.17,-0.01,0.06,37.20,25.29,-9.37,99
7773,13.10,47.38,91353.11,400.00,0.00,0.06,1.53,-9.72,0.11,-0.01,0.03,37.37,25.12,-9.54,99
8289,13.10,47.38,91353.38,400.00,0.00,0.06,1.51,-9.73,0.08,-0.01,0.06,36.49,27.42,-8.69,100
8804,13.10,47.28,91354.38,400.00,0.00,0.08,1.52,-9.71,0.08,-0.01,0.06,37.02,25.12,-9.89,100
9321,13.10,47.28,91353.34,400.00,0.00,0.06,1.51,-9.73,0.11,0.02,0.00,37.90,26.00,-9.71,100
9836,13.10,47.28,91355.30,400.00,0.00,0.08,1.52,-9.69,0.14,-0.07,-0.03,37.55,24.59,-10.40,100
10352,13.10,47.28,91353.13,400.00,0.00,0.07,1.50,-9.70,0.11,-0.01,-0.03,36.67,26.18,-8.86,100
10872,13.10,47.28,91353.47,400.00,0.00,0.10,1.53,-9.69,0.14,-0.07,0.00,36.85,24.94,-9.71,100
11387,13.08,47.22,91351.29,400.00,0.00,0.06,1.51,-9.71,0.11,-0.04,0.00,37.55,26.00,-8.69,100
11903,13.08,47.22,91354.95,400.00,0.00,0.11,1.53,-9.75,0.11,-0.01,0.03,37.20,26.71,-8.01,100
12418,13.08,47.22,91351.59,400.00,0.00,0.09,1.52,-9.67,0.14,-0.04,0.03,35.08,25.65,-9.37,100
12934,13.08,47.22,91350.38,400.00,0.00,0.09,1.50,-9.72,0.14,-0.01,-0.06,36.32,25.47,-9.54,100
13454,13.08,47.22,91351.41,400.00,0.00,0.07,1.51,-9.64,0.04,0.02,-0.03,37.20,26.00,-9.37,100
13970,13.06,47.38,91350.31,400.00,0.00,0.08,1.52,-9.73,0.08,-0.04,0.03,36.85,23.88,-8.69,100
14485,13.06,47.38,91352.74,400.00,0.00,0.08,1.51,-9.75,0.11,0.05,0.03,37.02,25.82,-9.20,100
15001,13.06,47.38,91350.41,400.00,0.00,0.07,1.53,-9.75,0.08,-0.04,0.06,37.37,25.12,-8.86,100
15517,13.06,47.38,91351.59,400.00,0.00,0.08,1.53,-9.71,0.04,-0.04,0.00,37.02,26.53,-9.54,100
16031,13.02,47.45,91351.69,403.00,0.00,0.08,1.52,-9.74,0.11,-0.04,0.00,37.20,25.29,-9.37,100
16551,13.02,47.45,91354.02,403.00,0.00,0.05,1.54,-9.70,0.08,0.02,0.00,37.02,26.18,-8.86,100
17065,13.02,47.45,91356.02,400.00,0.00,0.09,1.53,-9.73,0.08,0.02,0.03,37.55,26.36,-9.03,100
17582,13.02,47.45,91352.05,400.00,0.00,0.06,1.52,-9.75,0.01,-0.07,0.00,37.73,26.89,-9.20,100
18096,13.02,47.45,91356.90,400.00,0.00,0.07,1.51,-9.71,0.14,-0.04,0.03,37.55,24.94,-9.37,100
18613,12.98,47.38,91354.20,403.00,0.00,0.05,1.49,-9.77,0.11,-0.04,-0.03,37.73,26.18,-9.54,100
19133,12.98,47.38,91358.67,403.00,0.00,0.07,1.53,-9.70,0.11,-0.04,0.03,37.37,26.89,-8.52,100
